Plate,Well,Characteristics [Organism 1],Term Source 1 REF,Term Source 1 Accession,Characteristics [Organism],Term Source 2 REF,Term Source 2 Accession,Characteristics [Cell Line],Term Source 3 REF,Term Source 3 Accession,Comment [Cell Line],Compound Name,Compound PubChem CID,Compound PubChem URL,Compound Concentration (microMolar),CAS,Compound SMILES,Experimental Condition [DMSO solvent],Control Type,Comment [Control Type Comments],Quality Control,Comment [Quality Control Comments],Channels
Za_BSF019007,A1,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
Za_BSF019007,A2,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
Za_BSF019007,A20,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Bafilomycin A,5702538,https://pubchem.ncbi.nlm.nih.gov/compound/5702538,0.625,88899-55-2,C[C@@H]1C/C(=C/C=C/[C@@H]([C@H](OC(=O)/C(=C/C(=C/[C@H]([C@H]1O)C)/C)/OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)O)OC)/C ,,positive control,inhibits rhinovirus infection,,,Hoechst:nuclei; GFP:infection
Za_BSF019007,A21,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Bafilomycin A,5702538,https://pubchem.ncbi.nlm.nih.gov/compound/5702538,0.625,88899-55-2,C[C@@H]1C/C(=C/C=C/[C@@H]([C@H](OC(=O)/C(=C/C(=C/[C@H]([C@H]1O)C)/C)/OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)O)OC)/C ,,positive control,inhibits rhinovirus infection,,,Hoechst:nuclei; GFP:infection
Za_BSF019007,A22,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Bafilomycin A,5702538,https://pubchem.ncbi.nlm.nih.gov/compound/5702538,0.625,88899-55-2,C[C@@H]1C/C(=C/C=C/[C@@H]([C@H](OC(=O)/C(=C/C(=C/[C@H]([C@H]1O)C)/C)/OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)O)OC)/C ,,positive control,inhibits rhinovirus infection,,,Hoechst:nuclei; GFP:infection
Za_BSF019007,A23,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Bafilomycin A,5702538,https://pubchem.ncbi.nlm.nih.gov/compound/5702538,0.625,88899-55-2,C[C@@H]1C/C(=C/C=C/[C@@H]([C@H](OC(=O)/C(=C/C(=C/[C@H]([C@H]1O)C)/C)/OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)O)OC)/C ,,positive control,inhibits rhinovirus infection,,,Hoechst:nuclei; GFP:infection
Za_BSF019007,A24,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Bafilomycin A,5702538,https://pubchem.ncbi.nlm.nih.gov/compound/5702538,0.625,88899-55-2,C[C@@H]1C/C(=C/C=C/[C@@H]([C@H](OC(=O)/C(=C/C(=C/[C@H]([C@H]1O)C)/C)/OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)O)OC)/C ,,positive control,inhibits rhinovirus infection,,,Hoechst:nuclei; GFP:infection
Za_BSF019007,A3,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
Za_BSF019007,A4,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
Za_BSF019007,A5,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
Za_BSF019007,A6,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
Za_BSF019007,A7,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
Za_BSF019007,A8,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
Za_BSF019007,A9,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
Za_BSF019007,B1,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
Za_BSF019007,B10,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
Za_BSF019007,B11,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
Za_BSF019007,B12,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
Za_BSF019007,B13,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Bafilomycin A,5702538,https://pubchem.ncbi.nlm.nih.gov/compound/5702538,0.625,88899-55-2,C[C@@H]1C/C(=C/C=C/[C@@H]([C@H](OC(=O)/C(=C/C(=C/[C@H]([C@H]1O)C)/C)/OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)O)OC)/C ,,positive control,inhibits rhinovirus infection,,,Hoechst:nuclei; GFP:infection
Za_BSF019007,B14,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Bafilomycin A,5702538,https://pubchem.ncbi.nlm.nih.gov/compound/5702538,0.625,88899-55-2,C[C@@H]1C/C(=C/C=C/[C@@H]([C@H](OC(=O)/C(=C/C(=C/[C@H]([C@H]1O)C)/C)/OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)O)OC)/C ,,positive control,inhibits rhinovirus infection,,,Hoechst:nuclei; GFP:infection
Za_BSF019007,B15,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Bafilomycin A,5702538,https://pubchem.ncbi.nlm.nih.gov/compound/5702538,0.625,88899-55-2,C[C@@H]1C/C(=C/C=C/[C@@H]([C@H](OC(=O)/C(=C/C(=C/[C@H]([C@H]1O)C)/C)/OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)O)OC)/C ,,positive control,inhibits rhinovirus infection,,,Hoechst:nuclei; GFP:infection
Za_BSF019007,B16,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Bafilomycin A,5702538,https://pubchem.ncbi.nlm.nih.gov/compound/5702538,0.625,88899-55-2,C[C@@H]1C/C(=C/C=C/[C@@H]([C@H](OC(=O)/C(=C/C(=C/[C@H]([C@H]1O)C)/C)/OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)O)OC)/C ,,positive control,inhibits rhinovirus infection,,,Hoechst:nuclei; GFP:infection
Za_BSF019007,B17,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Bafilomycin A,5702538,https://pubchem.ncbi.nlm.nih.gov/compound/5702538,0.625,88899-55-2,C[C@@H]1C/C(=C/C=C/[C@@H]([C@H](OC(=O)/C(=C/C(=C/[C@H]([C@H]1O)C)/C)/OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)O)OC)/C ,,positive control,inhibits rhinovirus infection,,,Hoechst:nuclei; GFP:infection
Za_BSF019007,B18,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Bafilomycin A,5702538,https://pubchem.ncbi.nlm.nih.gov/compound/5702538,0.625,88899-55-2,C[C@@H]1C/C(=C/C=C/[C@@H]([C@H](OC(=O)/C(=C/C(=C/[C@H]([C@H]1O)C)/C)/OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)O)OC)/C ,,positive control,inhibits rhinovirus infection,,,Hoechst:nuclei; GFP:infection
Za_BSF019007,B19,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Bafilomycin A,5702538,https://pubchem.ncbi.nlm.nih.gov/compound/5702538,0.625,88899-55-2,C[C@@H]1C/C(=C/C=C/[C@@H]([C@H](OC(=O)/C(=C/C(=C/[C@H]([C@H]1O)C)/C)/OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)O)OC)/C ,,positive control,inhibits rhinovirus infection,,,Hoechst:nuclei; GFP:infection
Za_BSF019007,B2,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
Za_BSF019007,B20,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Bafilomycin A,5702538,https://pubchem.ncbi.nlm.nih.gov/compound/5702538,0.625,88899-55-2,C[C@@H]1C/C(=C/C=C/[C@@H]([C@H](OC(=O)/C(=C/C(=C/[C@H]([C@H]1O)C)/C)/OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)O)OC)/C ,,positive control,inhibits rhinovirus infection,,,Hoechst:nuclei; GFP:infection
Za_BSF019007,B21,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Bafilomycin A,5702538,https://pubchem.ncbi.nlm.nih.gov/compound/5702538,0.625,88899-55-2,C[C@@H]1C/C(=C/C=C/[C@@H]([C@H](OC(=O)/C(=C/C(=C/[C@H]([C@H]1O)C)/C)/OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)O)OC)/C ,,positive control,inhibits rhinovirus infection,,,Hoechst:nuclei; GFP:infection
Za_BSF019007,B22,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Bafilomycin A,5702538,https://pubchem.ncbi.nlm.nih.gov/compound/5702538,0.625,88899-55-2,C[C@@H]1C/C(=C/C=C/[C@@H]([C@H](OC(=O)/C(=C/C(=C/[C@H]([C@H]1O)C)/C)/OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)O)OC)/C ,,positive control,inhibits rhinovirus infection,,,Hoechst:nuclei; GFP:infection
Za_BSF019007,B23,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Bafilomycin A,5702538,https://pubchem.ncbi.nlm.nih.gov/compound/5702538,0.625,88899-55-2,C[C@@H]1C/C(=C/C=C/[C@@H]([C@H](OC(=O)/C(=C/C(=C/[C@H]([C@H]1O)C)/C)/OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)O)OC)/C ,,positive control,inhibits rhinovirus infection,,,Hoechst:nuclei; GFP:infection
Za_BSF019007,B24,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Bafilomycin A,5702538,https://pubchem.ncbi.nlm.nih.gov/compound/5702538,0.625,88899-55-2,C[C@@H]1C/C(=C/C=C/[C@@H]([C@H](OC(=O)/C(=C/C(=C/[C@H]([C@H]1O)C)/C)/OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)O)OC)/C ,,positive control,inhibits rhinovirus infection,,,Hoechst:nuclei; GFP:infection
Za_BSF019007,B3,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
Za_BSF019007,B4,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
Za_BSF019007,B5,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
Za_BSF019007,B6,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
Za_BSF019007,B7,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
Za_BSF019007,B8,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
Za_BSF019007,B9,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
Za_BSF019007,C1,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
Za_BSF019007,C10,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
Za_BSF019007,C11,Homo sapiens,NCBITaxon,NCBITaxon_9606,Human rhinovirus A16,NCBITaxon,NCBITaxon_31708,HeLa,EFO,EFO_0001185,HeLa Ohio,Dimethyl sulfoxide,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,1762.5,67-68-5,CS(=O)C,0.01%,negative control,solvent control,pass,non-toxic in absence of infection,Hoechst:nuclei; GFP:infection
